01/07/2010,09:40:15,ITEM1,50,3,150,SALES_PERSON1
01/07/2010,09:44:56,ITEM1,50,2,100,SALES_PERSON1
01/07/2010,10:14:28,ITEM1,50,1,50,SALES_PERSON1
01/07/2010,11:09:13,ITEM0,30,3,90,SALES_PERSON1
01/07/2010,11:55:47,ITEM1,50,1,50,SALES_PERSON1
01/07/2010,12:54:25,ITEM0,30,3,90,SALES_PERSON1
01/07/2010,13:26:39,ITEM1,50,2,100,SALES_PERSON1
01/07/2010,13:51:41,ITEM1,50,1,50,SALES_PERSON1
01/07/2010,14:44:29,ITEM1,50,4,200,SALES_PERSON1
01/07/2010,15:02:59,ITEM0,30,3,90,SALES_PERSON1
01/07/2010,15:55:53,ITEM0,30,3,90,SALES_PERSON1
01/07/2010,15:57:14,ITEM0,30,3,90,SALES_PERSON1
01/07/2010,15:58:16,ITEM1,50,4,200,SALES_PERSON1
01/07/2010,16:41:08,ITEM0,30,4,120,SALES_PERSON1
01/07/2010,17:23:50,ITEM0,30,1,30,SALES_PERSON1
01/07/2010,18:19:56,ITEM1,50,4,200,SALES_PERSON1
01/07/2010,18:20:50,ITEM1,50,1,50,SALES_PERSON1
01/07/2010,18:43:05,ITEM1,50,1,50,SALES_PERSON1
01/07/2010,19:07:17,ITEM1,50,1,50,SALES_PERSON1
01/07/2010,19:49:40,ITEM1,50,-1,-50,SALES_PERSON1
01/07/2010,20:23:38,ITEM1,50,2,100,SALES_PERSON1
01/07/2010,20:28:42,ITEM1,50,3,150,SALES_PERSON1
02/07/2010,09:21:07,ITEM0,30,1,30,SALES_PERSON0
02/07/2010,10:13:59,ITEM1,50,1,50,SALES_PERSON0
02/07/2010,10:50:48,ITEM1,50,4,200,SALES_PERSON0
02/07/2010,11:05:51,ITEM0,30,3,90,SALES_PERSON0
02/07/2010,11:43:48,ITEM1,50,2,100,SALES_PERSON0
02/07/2010,12:02:36,ITEM0,30,4,120,SALES_PERSON0
02/07/2010,12:05:52,ITEM1,50,2,100,SALES_PERSON0
02/07/2010,12:13:11,ITEM1,50,3,150,SALES_PERSON0
02/07/2010,13:08:28,ITEM1,50,2,100,SALES_PERSON0
02/07/2010,13:08:43,ITEM1,50,-2,-100,SALES_PERSON0
02/07/2010,13:08:43,ITEM1,50,2,100,SALES_PERSON0
02/07/2010,13:13:22,ITEM1,50,-2,-100,SALES_PERSON0
02/07/2010,13:32:20,ITEM0,30,4,120,SALES_PERSON0
02/07/2010,14:15:03,ITEM1,50,2,100,SALES_PERSON0
02/07/2010,15:04:14,ITEM1,50,1,50,SALES_PERSON0
02/07/2010,15:10:11,ITEM1,50,-1,-50,SALES_PERSON0
02/07/2010,16:01:00,ITEM1,50,3,150,SALES_PERSON0
02/07/2010,16:49:47,ITEM1,50,4,200,SALES_PERSON0
02/07/2010,17:10:16,ITEM0,30,3,90,SALES_PERSON0
02/07/2010,17:45:17,ITEM0,30,2,60,SALES_PERSON0
02/07/2010,18:19:58,ITEM1,50,1,50,SALES_PERSON0
02/07/2010,18:34:09,ITEM1,50,1,50,SALES_PERSON0
02/07/2010,19:18:55,ITEM1,50,2,100,SALES_PERSON0
02/07/2010,19:59:10,ITEM0,30,3,90,SALES_PERSON0
02/07/2010,20:30:47,ITEM0,30,2,60,SALES_PERSON0
02/07/2010,20:38:12,ITEM1,50,2,100,SALES_PERSON0
03/07/2010,09:52:40,ITEM1,50,2,100,SALES_PERSON1
03/07/2010,10:38:46,ITEM1,50,4,200,SALES_PERSON1
03/07/2010,11:25:44,ITEM1,50,2,100,SALES_PERSON1
03/07/2010,11:42:17,ITEM1,50,2,100,SALES_PERSON1
03/07/2010,12:39:31,ITEM0,30,4,120,SALES_PERSON1
03/07/2010,12:50:00,ITEM0,30,3,90,SALES_PERSON1
03/07/2010,13:18:44,ITEM1,50,1,50,SALES_PERSON1
03/07/2010,13:24:10,ITEM1,50,1,50,SALES_PERSON1
03/07/2010,13:26:59,ITEM1,50,2,100,SALES_PERSON1
03/07/2010,13:33:32,ITEM0,30,1,30,SALES_PERSON1
03/07/2010,13:40:22,ITEM1,50,3,150,SALES_PERSON1
03/07/2010,14:35:35,ITEM0,30,4,120,SALES_PERSON1
